sample,library,antibody,is_ref,description,AbConc
S15-bin1-RSV-F-up-2mut-lib1m,RSV-F-lib1,none,N,20240328-RBD expression profile,
S16-bin2-RSV-F-up-2mut-lib1m,RSV-F-lib1,none,N,20240328-RBD expression profile,
S17-bin3-RSV-F-up-2mut-lib1m,RSV-F-lib1,none,N,20240328-RBD expression profile,
S18-bin4-RSV-F-up-2mut-lib1m,RSV-F-lib1,none,N,20240328-RBD expression profile,
S19-bin1-RSV-F-up-2mut-lib2m,RSV-F-lib2,none,N,20240328-RBD expression profile,
S20-bin2-RSV-F-up-2mut-lib2m,RSV-F-lib2,none,N,20240328-RBD expression profile,
S21-bin3-RSV-F-up-2mut-lib2m,RSV-F-lib2,none,N,20240328-RBD expression profile,
S22-bin4-RSV-F-up-2mut-lib2m,RSV-F-lib2,none,N,20240328-RBD expression profile,
